StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,PID,Age,Q3,Q4,Q9,Q7,Q18,Q18_3_TEXT,Q16,Q17,Q18,Q18_3_TEXT,full_time_professional,professional_identity,Q10,Q11,Q20,Q21,Q13,Q13_5_TEXT,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_7_TEXT,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_7_TEXT,Q22,Q22_4_TEXT,Q19
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,,How old are you?,"Do you have 20/20 vision or vision that is corrected to 20/20 (e.g., with the use of eyeglasses or contacts)?","Can you type for long periods of time without looking at the keyboard (i.e., touch type)?",How many years of experience do you have with Java?,"Are you able to travel to TCS Hall in Pittsburgh, PA to participate in the study?","Do you have any of the following conditions which may affect the study: bifocal glasses, droopy eyes and/or lazy eyelids, eye conditions (e.g., an uncorrected astigmatism), dyslexia, or photosensitive epilepsy? If you're not sure, please write your concern in the blank. - Selected Choice","Do you have any of the following conditions which may affect the study: bifocal glasses, droopy eyes and/or lazy eyelids, eye conditions (e.g., an uncorrected astigmatism), dyslexia, or photosensitive epilepsy? If you're not sure, please write your concern in the blank. - Not sure: - Text",Are you currently a student?,How many years have you completed in your degree program?,"Is the degree you're currently completing in Computer Science or a related field? If you're not sure, please write the degree title in the blank. - Selected Choice","Is the degree you're currently completing in Computer Science or a related field? If you're not sure, please write the degree title in the blank. - Not sure: - Text",,,"Have you worked or are you currently working at a job that heavily requires the development of software? (This may include tasks like debugging, code review, design, refactoring, etc.)",How many years of experience do you have working in software workplaces?,How familiar are you with the IntelliJ IDEA IDE?,How knowledgeable are you about the Java programming language?,Which gender do you identify with? - Selected Choice,Which gender do you identify with? - Other: - Text,Which category best describes your race or ethnic group(s)? Multiple can be selected. - Selected Choice - Native American or Alaska Native,"Which category best describes your race or ethnic group(s)? Multiple can be selected. - Selected Choice - Asian, Pacific Islander, or Native Hawaiian",Which category best describes your race or ethnic group(s)? Multiple can be selected. - Selected Choice - Black or African American,Which category best describes your race or ethnic group(s)? Multiple can be selected. - Selected Choice - Hispanic or Latine/Latinx,Which category best describes your race or ethnic group(s)? Multiple can be selected. - Selected Choice - White / Caucasian,"Which category best describes your race or ethnic group(s)? Multiple can be selected. - Selected Choice - WANA (West Asian, North African)",Which category best describes your race or ethnic group(s)? Multiple can be selected. - Selected Choice - Other:,Which category best describes your race or ethnic group(s)? Multiple can be selected. - Other: - Text,"Do you have any of the following neurodivergent conditions? Please include any you suspect, even if you haven't been formally diagnosed. Select all that apply. - Selected Choice - I am neurotypical and do not have any of the below conditions","Do you have any of the following neurodivergent conditions? Please include any you suspect, even if you haven't been formally diagnosed. Select all that apply. - Selected Choice - ADHD","Do you have any of the following neurodivergent conditions? Please include any you suspect, even if you haven't been formally diagnosed. Select all that apply. - Selected Choice - Autism","Do you have any of the following neurodivergent conditions? Please include any you suspect, even if you haven't been formally diagnosed. Select all that apply. - Selected Choice - Dyspraxia","Do you have any of the following neurodivergent conditions? Please include any you suspect, even if you haven't been formally diagnosed. Select all that apply. - Selected Choice - Dyscalculia","Do you have any of the following neurodivergent conditions? Please include any you suspect, even if you haven't been formally diagnosed. Select all that apply. - Selected Choice - Tourette's Syndrome","Do you have any of the following neurodivergent conditions? Please include any you suspect, even if you haven't been formally diagnosed. Select all that apply. - Selected Choice - Other:","Do you have any of the following neurodivergent conditions? Please include any you suspect, even if you haven't been formally diagnosed. Select all that apply. - Other: - Text","What is your diagnostic status for the condition(s) you listed? We are not asking to validate your status as having any of them, just to provide more context. - Selected Choice","What is your diagnostic status for the condition(s) you listed? We are not asking to validate your status as having any of them, just to provide more context. - Other, or mixed (please elaborate on which conditions have diagnoses or not or any other circumstances): - Text",What is your native language?
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}",,"{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID19""}","{""ImportId"":""QID19_3_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID18_3_TEXT""}",,,"{""ImportId"":""QID10""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID13""}","{""ImportId"":""QID13_5_TEXT""}","{""ImportId"":""QID12"",""choiceId"":""1""}","{""ImportId"":""QID12"",""choiceId"":""2""}","{""ImportId"":""QID12"",""choiceId"":""3""}","{""ImportId"":""QID12"",""choiceId"":""4""}","{""ImportId"":""QID12"",""choiceId"":""5""}","{""ImportId"":""QID12"",""choiceId"":""6""}","{""ImportId"":""QID12"",""choiceId"":""7""}","{""ImportId"":""QID12_7_TEXT""}","{""ImportId"":""QID14"",""choiceId"":""1""}","{""ImportId"":""QID14"",""choiceId"":""2""}","{""ImportId"":""QID14"",""choiceId"":""3""}","{""ImportId"":""QID14"",""choiceId"":""4""}","{""ImportId"":""QID14"",""choiceId"":""5""}","{""ImportId"":""QID14"",""choiceId"":""6""}","{""ImportId"":""QID14"",""choiceId"":""7""}","{""ImportId"":""QID14_7_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID23_4_TEXT""}","{""ImportId"":""QID20_TEXT""}"
2025-04-03 13:24:35,2025-04-03 13:26:17,IP Address,100,102,TRUE,2025-04-03 13:26:18,R_5zXSHU6UfDH4VTm,,40.4442,-79.9557,anonymous,EN,P2_0,25,Yes,Yes,6,Yes,No,,"Yes, I am a Ph.D. student",Almost 2,Yes,,0,PhD,"Yes, I have worked at one before",2,Moderately familiar,Very knowledgeable,Nonbinary,,,,,,White / Caucasian,,,,,ADHD,Autism,,,,,,,,English
2025-04-03 15:36:42,2025-04-03 15:39:10,IP Address,100,148,TRUE,2025-04-03 15:39:11,R_1ifipgtBI3r2C49,,40.4442,-79.9557,anonymous,EN,P1_0,25,Yes,Yes,4,Yes,No,,"Yes, I am a Ph.D. student",2,Yes,,0,PhD,"Yes, I have worked at one before",4.5,Very familiar,Moderately knowledgeable,Man,,,"Asian, Pacific Islander, or Native Hawaiian",,,,,,,I am neurotypical and do not have any of the below conditions,,,,,,,,,,English / Chinese
2025-04-04 1:16:35,2025-04-04 1:19:56,IP Address,100,200,TRUE,2025-04-04 1:19:57,R_66qt7ZtTNr43Hqh,,42.1297,-80.0846,anonymous,EN,P3_0,22,Yes,Yes,3,Yes,No,,"Yes, I am a Ph.D. student",1,Yes,,0,PhD,"Yes, I have worked at one before",1,Slightly familiar,Moderately knowledgeable,Man,,,"Asian, Pacific Islander, or Native Hawaiian",,,,,,,,ADHD,,,,,,,,,English 
2025-04-04 1:15:55,2025-04-04 1:23:53,IP Address,100,478,TRUE,2025-04-04 1:23:54,R_1L4Qk0wENLdOo6t,,39.0258,-77.3983,anonymous,EN,P4_0,25,Yes,Yes,2,Yes,No,,No,,,,1,Professional,"Yes, I currently work at one",2,Slightly familiar,Moderately knowledgeable,Woman,,,"Asian, Pacific Islander, or Native Hawaiian",,,,,,,I am neurotypical and do not have any of the below conditions,,,,,,,,,,English
2025-04-10 11:56:12,2025-04-10 11:58:49,IP Address,100,157,TRUE,2025-04-10 11:58:49,R_1hz668Zd3cddSQE,,40.4442,-79.9557,anonymous,EN,P5_0,27,Yes,Yes,1,Yes,No,,"Yes, I am a Ph.D. student",1.5,Yes,,0,PhD,"Yes, I have worked at one before",3,Moderately familiar,Moderately knowledgeable,Man,,,"Asian, Pacific Islander, or Native Hawaiian",,,,,,,,,,,,,,,,,Hindi
2025-04-10 13:10:24,2025-04-10 13:12:30,IP Address,100,126,TRUE,2025-04-10 13:12:30,R_31DI6b5NCcEZjK9,,40.4442,-79.9557,anonymous,EN,P6_0,25,Yes,Yes,7,Yes,No,,"Yes, I am a Ph.D. student",4,Yes,,0,PhD,"Yes, I have worked at one before",2,Very familiar,Very knowledgeable,Man,,,"Asian, Pacific Islander, or Native Hawaiian",,,,,,,I am neurotypical and do not have any of the below conditions,,,,,,,,,,English
2025-04-17 10:03:02,2025-04-17 10:04:34,IP Address,100,92,TRUE,2025-04-17 10:04:34,R_7YDEE4e54PzHZpg,,40.4442,-79.9557,anonymous,EN,P28,21,Yes,Yes,5,Yes,No,,"Yes, I am an undergraduate",3,Yes,,0,Undergrad,"Yes, I currently work at one",1,Extremely familiar,Extremely knowledgeable,Woman,,,"Asian, Pacific Islander, or Native Hawaiian",,,,,,,I am neurotypical and do not have any of the below conditions,,,,,,,,,,Chinese
2025-04-22 10:20:16,2025-04-22 10:26:30,IP Address,100,373,TRUE,2025-04-22 10:26:31,R_5aXfXsS8iGnJrR7,,40.4422,-79.9927,anonymous,EN,P34,28,Yes,Yes,4,Yes,No,,No,,,,1,Professional,"Yes, I currently work at one",1.5,Very familiar,Very knowledgeable,Man,,,"Asian, Pacific Islander, or Native Hawaiian",,,,,,,,ADHD,,,,,,,"Other, or mixed (please elaborate on which conditions have diagnoses or not or any other circumstances):",Suspected ADHD; have been meaning to get professionally diagnosed but haven't had the time yet,English
